Abandonment;A procedure by which a party gives up civil proceedings or an appeal.
Absolute discharge;Where a person has pleaded guilty or been convicted of an offence, in certain circumstances the court may, instead of imposing a sentence (and on summary complaint instead of convicting), discharge that person absolutely. No penalty is imposed, and in summary proceedings no conviction is recorded.
Absolvitor;The judgment pronounced when a court decides in favour of a party against whom an action has been raised.
Access;A court order allowing a person to see a child. Such an order is now called contact.
Accountant in Bankruptcy;The administrative supervisor of sequestrations and personal insolvency.
Accountant of Court;An officer of court who formerly supervised the conduct of judicial factors and persons appointed as guardians of adults with incapacity.
Acquittal;A verdict of a jury or a decision of a judge finding an accused person not guilty or the case not proven.
Accused;A person charged with committing a crime or offence. The formal term in solemn proceedings (on indictment before a jury) is "panel" or "pannel". The word "defendant" is not used in Scotland.
Act and warrant;The interlocutor in sequestration proceedings which confirms the appointment of the trustee.
Action;Proceedings raised by a person in a civil court seeking enforcement of a legal right against another (the defender).
Acts of Adjournal Rules;about court procedure made by the High Court of Justiciary for proceedings in criminal courts.
Acts of Sederunt Rules;passed by the Lords of Council and Session (the judges of the Court of Session) relating to civil procedure.
Ad factum praestandum;For the performance of a certain act.
Ad fundandam jurisdictionem;For the purpose of founding jurisdiction.
Ad hoc.;Referring only to a particular case or to a specified set of circumstances.
Ad infinitum;Without limit.
Ad interim;In the meantime. For example, in an action for an interdict, an order may be made ad interim before a final or perpetual order is made.
Adjourned diet;A date to which a hearing has been put off.
Adjournment;An interruption to the proceedings when the court stops the hearing of the case for part of a day or for a longer period.
Adjudication;An action used to take possession of heritable property, i.e. where a seller of land refuses to give a conveyance to the buyer, or as a means of taking a debtor's land to satisfy his creditor's claim for debt. This procedure has now been abolished.
Adjust;To alter the written pleadings of an action or its defence in its early stages.
Ad longum;At length.
Administration order;A court order appointing an administrator for a company in financial difficulties.
Admonition;Where a person has pleaded guilty or been convicted of an offence, In some circumstances the court may admonish the offender not to do it again and impose no other penalty.
Adoption;The statutory process whereby the parental rights and duties of natural parents in relation to a child are extinguished and vested in adopters.
Advising;The occasion when a judgment of the High Court of Justiciary or the Court of Session is delivered.
Advocate;A member of the Scottish Bar.
Advocate depute;A person appointed by the Lord Advocate to prosecute in the High Court of Justiciary.
Advocate General;A UK Government Minister and the UK Government's chief Scottish legal adviser.
Advocate, Lord;Lord Advocate.
Affidavit;A signed statement made on oath. Some cases or evidence may be dealt with by affidavit evidence.
Affirmation;The undertaking and propose by a witness, who does not wish to swear an oath, to tell the truth when giving evidence in court.
Aliment;Financial support of a spouse or child enforceable by law.
Animus;Will or intention.
Answers;A statement setting out the factual and legal response of a party to proceedings raised against him or her.
Antisocial behaviour order;An order which prohibits a person a person indefinitely or for a fixed period from doing anything described in the order which is necessary to protect others from that person's anti-social behaviour.
Appeal;An appeal is a re-hearing of a case by a higher court than the court which first heard the case. A re-hearing means re-consideration by the appellate court of the evidence led and the legal issues considered by the court below.
Appearance;The formal act whereby the defender in an action intimates his intention to defend.
Appropriate Adult;An independent adult who may attend police interviews and procedures when a victim, witness, suspect or accused is a person who has a mental disorder. The role of the Appropriate Adult is to facilitate communication between all parties.
Arrestment;Legal attachment of money or moveable property in the hands of a third party.
Articles of roup;Conditions of sale by auction.
ASBO;Antisocial behaviour order.
Assignation;The transfer of a right from one party to another.
Assize;This word is occasionally and formally used to mean a trial by jury.
Assoilzie;In civil law it means to find for the defender or respondent in respect of the claim(s) made by the pursuer.
Auditor of Court;A person responsible for examining legal accounts. The Auditors of the Court of Session and sheriff courts, Respectively, examine and "tax" accounts of expenses incurred by parties in civil actions in the respective courts.
Aver;To state or allege.
Avizandum;To be considered. Judgment is deferred, an oral or written decision to be given later.
Bail;In Admiralty proceedings the security given to obtain the release of a ship. In criminal proceedings, an arrangement for the release of an accused person pending trial or sentence subject to conditions.
Bankruptcy;Where a person is unable to pay his or her debts, a creditor may apply to the court for that person's sequestration, that is to have that person declared bankrupt.
Bill of Advocation;The original function was to remove a criminal case from an inferior court to a superior court on account of partiality or incapacity of the judge or intricacy of the case. It is now also a means of review for errors by an inferior judge during a criminal case up to sentence. It is available to either the prosecutor or the accused; and now extends to criminal trials in solemn proceedings in the High Court but only on the application of the prosecutor. It is the means by which a prosecutor seeks to have the High Court review an error in a court of summary jurisdiction.
Bill of suspension;This is an application by the person affected to the High Court of Justiciary from a court of summary jurisdiction (a sheriff sitting alone, a stipendiary magistrate or a Justice of the Peace Court) seeking to review and set aside an illegal or improper warrant, conviction or decision. Such an application by a prosecutor is by bill of advocation. Where it is sought to appeal against conviction on a question of fact or law the usual method of appeal is by application to the court of summary jurisdiction for a stated case.
Bond of caution;Where the court appoints a party or other person to find caution (a sum of money as security), this may be done by depositing cash, or by arranging a bond with an insurance company. It ensures that money is available in the event that the security is required. Note 'Caution' is pronounced to rhyme with station.
Books of Adjournal;The books or records of the Justiciary Office in relation to criminal proceedings.
Books of Council and Session;A popular title for the Registers of Deeds and Probative Writs in which, according to the directions they contain, deeds, etc., may be registered for preservation or preservation and execution.
Books of Sederunt;Records of the Acts of Sederunt in the Court of Session.
Brevitatis causa;For the sake of brevity.
By order;A hearing of a case put out for the hearing at the instance of the court and not on the motion of a party.
Calling list;The list of cases calling in ther Court of Session on a particular day.
Cause;A case before a court.
Caution;Security (pronounced 'Kayshun'; it rhymes with station). (1) A party or other person may be required to find caution, that is security, against the occurrence of a certain event, e.g., for the expenses of an action or for the protection of an estate. A sum of money ordered to be lodged by an offender convicted of a criminal offence as security for good behaviour for a specified period of time. If the offender is of good behaviour the money is returned.
Caveat;"Warning". A legal document lodged in court by a party so that no order or ruling affecting him or her passes in his or her absence or without receiving prior notice and an opportunity to be heard by the court before any order is made.
Charge;A demand made to a person to pay a sum of money in, or comply with, an order of the court.
Child welfare hearing;A hearing before a sheriff in the sheriff court in family proceedings in which issues of residence and contact are discussed. The parties to the action are expected to appear personally.
Circuit Court;The court held by the judges of the High Court of Justiciary when they sit outside Edinburgh.
Cite / Citation;(1) To summon to court a party, witness or juror. To refer in argument to some authority such as a statute or decided case.
College of Justice;Created in 1532, it consisted of the Lords of Council and Session (the judges of the Court of Session) who are the Senators of the College of Justice, the Faculty of Advocates, the clerks to the Signet (later the Writers to HM Signet, a Society of solicitors) and the macers (the court officer who carried a mace before the judges). It may now be said to consist of the senators, Advocates, Writers to the Signet, Solicitors to the Supreme Courts, Macers and Supreme Courts staff.
Commercial action;Civil proceedings defined in rules of court heard in a Commercial Court in the Court of Session or a specified Sheriff Court.
Commissary;Relating to establishing the succession rights and disposal of a deceased person's estate.
Commissary Court;The court which grants a title to executors or administrators of a deceased persons' estate.
Commissioner of Justiciary, Lord;Lord Commissioner of Justiciary.
Community payback order;An order, as an alternative to a custodial sentence, requiring an offender convicted of an offence punishable by imprisonment to perform unpaid work for the community, to be supervised, to pay compensation, or to undertake various kinds of treatment. It replaces community service orders, probation and supervised attendance orders.
Community service order;An order, as an alternative to a custodial sentence, requiring an offender convicted of an offence punishable by imprisonment to perform a specified number of hours of unpaid work in the community.
Compensation order;An order requiring an offender convicted of an offence to pay compensation to a person for personal injury, loss, or damage caused directly or indirectly, or alarm or distress caused directly against whom or against whose property the acts constituting the offence were directed.
Complaint;A document starting summary (minor) criminal proceedings in a sheriff court, before a stipendary magistrate or a Justice of the Peace Court setting out the crime or offence charged.
Compearance;The appearance of a defender or respondent in civil proceedings.
Conclusion;The statement of the precise order sought in a civil action in the Court of Session.
Condescendence;A written statement in an action setting out the factual and legal grounds of action of the pursuer in a civil action.
Confirmation;The authority obtained from a sheriff authorising a person (an executor) to gather and distribute the estate of a deceased person.
Confiscation;A court order made in criminal proceedings, after conviction or absolute discharge, where money or other property is taken from the offender because he or she benefited by it from criminal conduct.
Consignation;The deposit in court or with a third party under court authority of money or an article in dispute.
Consistorial Relating;to certain family matters, including actions of divorce , nullity of marriage, and legitimacy.
Contact order;A formal order of the court allowing one person to see a child for residential or non-residential access. Formerly called access.
Continued diet;A hearing in a case which has been continued from an earlier date.
Counsel;A member of the Faculty of Advocates practising at the Scottish Bar. An advocate has the right to appear before any court in Scotland or the UK Supreme Court.
Counterclaim;A claim made by a defender against a pursuer in a civil action raised against him or her.
Court of Criminal Appeal;The High Court of Justiciary when sitting to hear appeals in solemn proceedings (cases heard on indictment before a jury) is sometimes called the Court of Criminal Appeal.
Court of Session;The supreme civil court. The judges of the Court of Session are also the judges of the High Court of Justiciary, the supreme criminal court.
Court of summary jurisdiction;This is a court sitting without a jury hearing summary criminal proceedings on summary complaint. The courts are the sheriff court when hearing criminal proceedings on summary complaint, a stipendary magistrate or a Justice of the Peace Court.
Crave;The statement of the precise order sought in a civil proceedings in the sheriff court.
Creditor;A person to whom another person (or debtor) is obliged in some monetary or other obligation.
Criminal appeal;An application to the High Court of Justiciary sitting as an appellate court to set aside the decision of a court that heard a case at first instance. A criminal appeal from a court of summary criminal jurisdiction is formally called a justiciary appeal.
Cross-examination;Questions asked of a witness on behalf of a party who has not led the witness are referred to as cross-examination.
Curator;(not 'curaytor') A person either entitled by law or appointed by the court or an individual to administer the estate of another, as of a young or a person with mental incapacity.
Curator ad litem;A person appointed by the court to look after the interests of a party to proceedings who is under legal disability but has no guardian.
Curator bonis;The person formerly appointed by the court to manage the estate of a young person in place of his legal guardian or to manage the estate of an adult suffering from a mental disorder.
Curatory;Where a person was too young, or infirm, to look after his or her own (financial) affairs, a curator or judicial factor was appointed to do so (a curator or judicial factor).
Custody order;Now known as a 'residence order' by which a court states with whom a child will live.
Damages;A sum of money awarded by a court as compensation for a wrong or injury.
De facto;According to the fact; in point of fact.
De fideli administratione;Of faithful administration. This phrase is used to describe an oath taken, for example, by an interpreter for a witness.
De jure;According to law.
De novo;Of new.
De plano;Immediately, summarily, without attention to forms. A decree de plano is one in which the court grants a decree or order in the terms sought.
Debate;Intermediate step in procedure when legal points are considered in a civil action before the facts are determined, and which can result in the conclusion of a case or a part of it without evidence being led. The word is sometimes used for a hearing on a preliminary legal issue in criminal proceedings.
Debtor;A person obliged to pay some monetary or other obligation to another (the creditor).
Decern;A formal word meaning to give (final) decree or judgment and authorises an extract of the decree or order.
Declarator;An order declaring that some right exists or does not exist which has legal consequence.
Decree;The common term for a final judgment. (The word is accented on the first syllable).
Decree by default;A final order granted to a party against another party who has failed to appear, to lodge a document or do something required by the court or rules of court.
Decree in absence;A final order granted to the pursuer in a civil action where the defender has not lodged a notice of intention to defend or has not lodged defences.
Defences;The statement by way of defence lodged by a defender in a civil action, being the party against whom a civil action is raised.
Defender;A person against whom a civil action is raised. The word "defendant" is not used in Scotland.
Deferred sentence;A form of sentence in which the final decision about any punishment is deferred or put off to another date, usually some three to 12 months later. Where sentence is put off for a few weeks for further information, such as social enquiry reports, this is not a deferred sentence, but is properly called an "adjourned diet".
Delict;A civil wrong.
Desert;pro loco et tempore;To stop the particular indictment or summary complaint proceeding further without the facts being determined.
Desert simpliciter;To bring prosecution for a crime or offence on indictment or summary complaint to an end without the facts being determined.
Detention;A sentence of imprisonment in a young offender's institution on a person under 21 years of age.
Diet;The date fixed by the court for hearing a case for any one of a variety of purposes.
Diligence Procedure;for enforcing an order of the court, or for recovering documents from an opponent or other person; or for obtaining the evidence of witnesses before a commissioner. It also applies to an order to preserve money or property of a party until civil proceedings have been concluded.
Discharge;Release from an order or obligation.
Domicile;Where a person lives or a company or body has its registered address or seat.
Drug treatment and testing order;An order requiring an offender convicted of a criminal offence to undertake a programme to get him or her off drugs and from further offending.
Eodem die (eo die);The same day.
Et sequentes paginate (Et seq);And the following pages.
Evidence;At a criminal trial or a proof in a civil proceedings, witnesses take the oath or affirm to tell the truth and given oral evidence in court in answer to questions . Sometimes written evidence (affidavit evidence) is allowed.
Evidence in chief;This is the evidence first given by a witness on behalf of a party to proceedings, e.g, the prosecutor, accused (defence), pursuer or defender. Questions asked of a witness by the other party are referred to as cross-examination.
Ex facie;On the face of it; evidently.
Ex officio;As holder of a particular office or appointment.
Ex parte;Proceedings are ex parte when the party against whom they are raised does not have to be heard, e.g. in an application for interim interdict where the defender has not lodged a caveat which entitles him or her to be heard before the interim order can be granted.
Ex proprio motu;On the court's own initiative.
Ex tempore;At the time. For example, an ex tempore judgment given there and then.
Execution;The procedure for enforcing an order of the court.
Executor dative;A person appointed by the court to gather and distribute a the estate or property of a deceased person.
Executor nominate;The person named in the will of the deceased to gather and distribute the estate or property of a deceased person. .
Exoner;To discharge from liability. Thus, a judicial factor may seek exoneration and discharge by the court.
Expenses;The costs of the proceedings that the court may order a successful party to recover from an unsuccessful party to proceedings.
Extended sentence;A sentence consisting of a custodial element (imprisonment or detention in a young offender's institution) and a period of supervision in the community on release.
Extra Division;A Division of the Inner House of the Court of Session other than the First or Second Division.
Extract/extract decree;A written instrument signed by a clerk of court containing a statement of a decree or order of the court and, if necessary, a warrant to charge the debtor and to execute all competent diligence against person or property.
Extrajudicial settlement;This refers to an agreement between the parties to settle the case without the court having to decide the case.
Fatal accident inquiry;An inquiry before a sheriff into the circumstances of a death of a person. Such an inquiry must be held where the person died at work or in legal custody.
First deliverance;This is the first order in petition proceedings such as lpetitions for liquidation of a company and sequestrations (personal bankruptcy).
First diet;A date on which an indictment calls in the sheriff court in solemn proceedings to determine whether the prosecutor and defence are ready to do to trial.
First Division;The Division of the Inner House of the Court of Seesion presided over by the Lord President.
First hearing;The first time a case calls in court.
Fixed diet;A date fixed by the High Court of Justiciary for a trial to proceed.
Floating sheriff;A full-time or permanent sheriff who is not resident at a court but may sit at more than one sheriff court.
Forum non conveniens;The court, although having jurisdiction is not the appropriate court for the matter in dispute.
Fund in medio;The property or money in the hands of the holder of the Fund (money or property) in an action of multiplepoinding.
